filename,brand,category,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status,agent_zone
GreenStuf Deep Dive - Phenolic Foam Board Install Instructions.pdf,GreenStuf,GreenStuf Deep Dive,Installation_Guide,duct_insulation,4,0,Text Only,Product Rep
GreenStuf Deep Dive - Phenolic Pipe Lagging Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,general_insulation,7,0,Text Only,Product Rep
GreenStuf Deep Dive - Phenolic_PIR Building Product Information Requirements.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,duct_insulation,8,0,Text Only,Product Rep
GreenStuf Deep Dive - Sound Solution Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,acoustic_insulation,12,0,Text Only,Product Rep
GreenStuf Deep Dive - Thermal Ceiling Insulation Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,ceiling_insulation,10,0,Text Only,Product Rep
GreenStuf Deep Dive - Thermal Insulation.pdf,GreenStuf,GreenStuf Deep Dive,Installation_Guide,general_insulation,6,0,Text Only,Product Rep
GreenStuf Deep Dive - Thermal Soffit Liner Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,roof_insulation,15,0,Text Only,Product Rep
GreenStuf Deep Dive - Thermal Soffit Liner Install Instructions.pdf,GreenStuf,GreenStuf Deep Dive,Installation_Guide,roof_insulation,13,0,Text Only,Product Rep
GreenStuf Deep Dive - Thermal Wall Insulation Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,wall_insulation,7,0,Text Only,Product Rep
GreenStuf Deep Dive - Trade Guide.pdf,GreenStuf,GreenStuf Deep Dive,Product_Guide,general_insulation,7,0,Text Only,Product Rep
GreenStuf Deep Dive - Underfloor DataSheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,underfloor_insulation,8,0,Text Only,Product Rep
GreenStuf Deep Dive - Underfloor Install Instructions.pdf,GreenStuf,GreenStuf Deep Dive,Installation_Guide,underfloor_insulation,8,0,Text Only,Product Rep
GreenStuf Deep Dive - Wool Insulation Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,general_insulation,8,0,Text Only,Product Rep
GreenStuf Deep Dive - Wool Insulation Install Instructions.pdf,GreenStuf,GreenStuf Deep Dive,Installation_Guide,general_insulation,6,0,Text Only,Product Rep
GreenStuf Deep Dive - Wool Insulation Material Safety Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,general_insulation,4,0,Text Only,Product Rep
H1-AS1_6th-Edition,NZ Building Code,NZ Building Code,Compliance_Document,acceptable_solution,177,0,Text Only,Inspector
H1-VM1_6th-Edition-2025,NZ Building Code,NZ Building Code,Compliance_Document,verification_method,125,0,Text Only,Inspector
Internal-WetArea-Membrane-CodeOfPractice_4th-Edition-2020,NZ Building Code,Other,Compliance_Document,industry_code,521,0,Text Only,Inspector
J&L Duke - 593_2022,J&L Duke,Other,Technical_Data_Sheet,structural_panel,20,0,Text Only,Product Rep
J&L Duke - Inter-Tenancy-Wall-Technical-Literature-1,J&L Duke,Other,Technical_Manual,structural_panel,20,0,Text Only,Product Rep
J&L Duke - J-Frame-Care-Maintenance-Guide-CodeMark-1-1-2,J&L Duke,Other,Certification,engineered_timber,2,0,Text Only,Product Rep
J&L Duke - J-Frame-Design-Installation-Guide-2025-1,J&L Duke,Other,Installation_Guide,engineered_timber,10,0,Text Only,Product Rep
J&L Duke - J-Frame-and-Exposure-to-the-Elements-1,J&L Duke,Other,Technical_Data_Sheet,engineered_timber,4,0,Text Only,Product Rep
J&L Duke - J-Frame-beam-span-tables-V1.0,J&L Duke,Other,Technical_Data_Sheet,engineered_timber,42,0,Text Only,Product Rep
J&L Duke - J-Frame-stud-span-tables-V1.0,J&L Duke,Other,Technical_Data_Sheet,engineered_timber,14,0,Text Only,Product Rep
J&L Duke - J-frame-BRANZ,J&L Duke,Other,Certification,engineered_timber,15,0,Text Only,Product Rep
J&L Duke - Procedure-for-testing-moisture-content-of-J-Frame-2,J&L Duke,Other,Technical_Data_Sheet,engineered_timber,2,0,Text Only,Product Rep
J&L Duke - Triboard-Bracing-Details-1,J&L Duke,Other,Technical_Data_Sheet,structural_panel,2,0,Text Only,Product Rep
J&L Duke - Triboard-Brochure-2022-1,J&L Duke,Other,Product_Catalog,structural_panel,10,0,Text Only,Product Rep
J&L Duke - Triboard-Constuction-System-Appraisal-481,J&L Duke,Other,Certification,structural_panel,27,0,Text Only,Product Rep
J&L Duke - Triboard-General-MSDS-2020-1,J&L Duke,Other,Safety_Data_Sheet,structural_panel,14,0,Text Only,Product Rep
J&L Duke - Triboard-Lining-TGV-Panels-Brochure-1,J&L Duke,Other,Product_Catalog,structural_panel,4,0,Text Only,Product Rep
J&L Duke - Triboard-TGV-Lining-Panel-FAQ-1-1,J&L Duke,Other,Product_Guide,interior_linings,6,0,Text Only,Product Rep
J&L Duke - Triboard-Wall-Lining-Installation-Sheet-2022,J&L Duke,Other,Installation_Guide,structural_panel,11,0,Text Only,Product Rep
